TAG_TEXT,BBOX_X1,BBOX_Y1,BBOX_X2,BBOX_Y2,BBOX_WIDTH,BBOX_HEIGHT,CONFIDENCE,PAGE
S1 116033,6643.4,5276.8,6714.2,5354.5,70.8,77.8,0.950,1
115051,4553.0,2832.1,4621.1,2859.9,68.1,27.8,0.950,1
YS 115206,6348.9,1022.3,6423.9,1100.1,75.0,77.8,0.950,1
GS 116640,8351.8,6115.7,8425.4,6193.5,73.6,77.8,0.950,1
YS 116018,5211.4,3898.9,5282.3,3976.7,70.8,77.8,0.950,1
NC 114801,6860.1,1004.3,6933.7,1082.1,73.6,77.8,0.950,1
WC 116034,6582.3,4480.8,6658.7,4558.6,76.4,77.8,0.950,1
NZ 116502,6348.9,6360.1,6423.9,6437.9,75.0,77.8,0.950,1
PI 115636,6347.5,1987.7,6419.8,2066.8,72.2,79.2,0.950,1
HS 115690,5023.9,2234.9,5096.1,2309.9,72.2,75.0,0.950,1
YS 116020,5210.0,5071.2,5283.6,5149.0,73.6,77.8,0.950,1
YS 116023,8786.6,5072.6,8858.8,5149.0,72.2,76.4,0.950,1
NZ 116 116501,5472.6,6225.4,6537.8,6300.4,1065.3,75.0,0.950,1
NZ 116602,8644.9,6362.9,8722.7,6439.3,77.8,76.4,0.950,1
HZ 115090,6025.3,2393.3,6094.7,2469.7,69.5,76.4,0.950,1
LS 116032,8351.8,5278.2,8425.4,5354.5,73.6,76.4,0.950,1
YS 115606,5192.0,1987.7,5264.2,2065.4,72.2,77.8,0.950,1
NC 115101,5311.4,3236.3,5378.1,3314.1,66.7,77.8,0.950,1
NC 115501,8521.3,1595.9,8592.1,1673.7,70.8,77.8,0.950,1
YS 116021,8785.2,3898.9,8857.4,3975.3,72.2,76.4,0.950,1
YS 116022,8782.4,4835.0,8860.2,4912.8,77.8,77.8,0.950,1
YS 115607,6879.5,1948.8,6954.5,2027.9,75.0,79.2,0.950,1
YS 115605,6880.9,2243.2,6953.2,2325.2,72.2,82.0,0.950,1
GS 116540,6642.0,6114.3,6715.6,6193.5,73.6,79.2,0.950,1
HS 114690,5022.5,2314.1,5098.9,2389.1,76.4,75.0,0.950,1
YS 116019,6211.4,4835.0,6279.5,4910.1,68.1,75.0,0.950,1
YS 115006,8715.7,2182.1,8789.3,2262.7,73.6,80.6,0.950,1
GS 115040,6882.3,2805.7,6951.8,2884.9,69.5,79.2,0.950,1
IS 115142,6193.4,2534.9,6261.4,2598.8,68.1,63.9,0.950,1
YS 115004,6504.5,3436.4,6576.7,3514.1,72.2,77.8,0.950,1
PI 115136,4554.4,2923.8,4619.7,3000.2,65.3,76.4,0.950,1
NZ 116601,8531.0,6224.0,8600.4,6299.0,69.5,75.0,0.950,1
AI 115239,10553.3,1715.4,10625.5,1790.4,72.2,75.0,0.950,1
115041 115 YS 1150 115020,7464.3,2554.4,8533.8,3368.3,1069.5,813.9,0.950,1
FI 115143,4551.6,2361.3,4621.1,2439.1,69.5,77.8,0.950,1
PC 115050,4550.2,2007.1,4622.5,2083.5,72.2,76.4,0.950,1
YS 115022 1150,7461.5,3476.6,8535.2,3554.4,1073.6,77.8,0.950,1
YS 115205,8479.6,2321.0,8554.6,2401.6,75.0,80.6,0.950,1
YS 115705,6473.9,2322.4,6551.7,2403.0,77.8,80.6,0.950,1
YS 115005,6624.0,3435.0,6696.2,3514.1,72.2,79.2,0.950,1
0d 115236,8589.3,2039.0,8660.2,2115.4,70.8,76.4,0.950,1
G 115042,8461.5,3397.5,8536.5,3469.7,75.0,72.2,0.950,1
